"U:0,""U:1"",""U:2"",""p"",""vtkValidPointMask"",""arc_length"",""Points:0"",""Points:1"",""Points:2"""
0.061183,-1.3989e-05,0,0,1,0.00124,1.5,0.00124,0
0.061193,-1.4123e-05,0,0,1,0.00125,1.5,0.00125,0
0.061204,-1.4257e-05,0,0,1,0.00126,1.5,0.00126,0
0.061214,-1.4391e-05,0,0,1,0.00127,1.5,0.00127,0
0.061225,-1.4524e-05,0,0,1,0.00128,1.5,0.00128,0
0.061236,-1.4658e-05,0,0,1,0.00129,1.5,0.00129,0
0.061246,-1.4792e-05,0,0,1,0.0013,1.5,0.0013,0
0.061257,-1.4925e-05,0,0,1,0.00131,1.5,0.00131,0
0.061268,-1.5059e-05,0,0,1,0.00132,1.5,0.00132,0
0.061278,-1.5192e-05,0,0,1,0.00133,1.5,0.00133,0
0.061289,-1.5326e-05,0,0,1,0.00134,1.5,0.00134,0
0.061299,-1.546e-05,0,0,1,0.00135,1.5,0.00135,0
0.06131,-1.5593e-05,0,0,1,0.00136,1.5,0.00136,0
0.061321,-1.5727e-05,0,0,1,0.00137,1.5,0.00137,0
0.061331,-1.586e-05,0,0,1,0.00138,1.5,0.00138,0
0.061342,-1.5994e-05,0,0,1,0.00139,1.5,0.00139,0
0.061353,-1.6128e-05,0,0,1,0.0014,1.5,0.0014,0
0.061363,-1.6261e-05,0,0,1,0.00141,1.5,0.00141,0
0.061374,-1.6395e-05,0,0,1,0.00142,1.5,0.00142,0
0.061384,-1.6529e-05,0,0,1,0.00143,1.5,0.00143,0
0.061395,-1.6662e-05,0,0,1,0.00144,1.5,0.00144,0
0.061406,-1.6796e-05,0,0,1,0.00145,1.5,0.00145,0
0.061416,-1.6929e-05,0,0,1,0.00146,1.5,0.00146,0
0.061427,-1.7063e-05,0,0,1,0.00147,1.5,0.00147,0
0.061438,-1.7197e-05,0,0,1,0.00148,1.5,0.00148,0
0.061448,-1.733e-05,0,0,1,0.00149,1.5,0.00149,0
0.061459,-1.7464e-05,0,0,1,0.0015,1.5,0.0015,0
0.061469,-1.7594e-05,0,0,1,0.00151,1.5,0.00151,0
0.06148,-1.7724e-05,0,5.0373e-19,1,0.00152,1.5,0.00152,0
0.06149,-1.7854e-05,0,0,1,0.00153,1.5,0.00153,0
0.061501,-1.7983e-05,0,0,1,0.00154,1.5,0.00154,0
0.061511,-1.8113e-05,0,0,1,0.00155,1.5,0.00155,0
0.061522,-1.8243e-05,0,0,1,0.00156,1.5,0.00156,0
0.061532,-1.8373e-05,0,0,1,0.00157,1.5,0.00157,0
0.061543,-1.8503e-05,0,0,1,0.00158,1.5,0.00158,0
0.061553,-1.8633e-05,0,0,1,0.00159,1.5,0.00159,0
0.061564,-1.8763e-05,0,0,1,0.0016,1.5,0.0016,0
0.061574,-1.8893e-05,0,0,1,0.00161,1.5,0.00161,0
0.061585,-1.9023e-05,0,0,1,0.00162,1.5,0.00162,0
0.061596,-1.9152e-05,0,0,1,0.00163,1.5,0.00163,0
0.061606,-1.9282e-05,0,0,1,0.00164,1.5,0.00164,0
0.061617,-1.9412e-05,0,0,1,0.00165,1.5,0.00165,0
0.061627,-1.9542e-05,0,0,1,0.00166,1.5,0.00166,0
0.061638,-1.9672e-05,0,0,1,0.00167,1.5,0.00167,0
0.061648,-1.9802e-05,0,0,1,0.00168,1.5,0.00168,0
0.061659,-1.9932e-05,0,0,1,0.00169,1.5,0.00169,0
0.061669,-2.0062e-05,0,0,1,0.0017,1.5,0.0017,0
0.06168,-2.0191e-05,0,0,1,0.00171,1.5,0.00171,0
0.06169,-2.0321e-05,0,0,1,0.00172,1.5,0.00172,0
0.061701,-2.0451e-05,0,0,1,0.00173,1.5,0.00173,0
0.061711,-2.0581e-05,0,0,1,0.00174,1.5,0.00174,0
0.061722,-2.0711e-05,0,0,1,0.00175,1.5,0.00175,0
0.061732,-2.0835e-05,0,0,1,0.00176,1.5,0.00176,0
0.061742,-2.096e-05,0,5.0427e-19,1,0.00177,1.5,0.00177,0
0.061752,-2.1084e-05,0,0,1,0.00178,1.5,0.00178,0
0.061762,-2.1209e-05,0,0,1,0.00179,1.5,0.00179,0
0.061772,-2.1333e-05,0,0,1,0.0018,1.5,0.0018,0
0.061782,-2.1458e-05,0,0,1,0.00181,1.5,0.00181,0
0.061792,-2.1582e-05,0,0,1,0.00182,1.5,0.00182,0
0.061802,-2.1706e-05,0,0,1,0.00183,1.5,0.00183,0
0.061813,-2.1831e-05,0,0,1,0.00184,1.5,0.00184,0
0.061823,-2.1955e-05,0,0,1,0.00185,1.5,0.00185,0
0.061833,-2.208e-05,0,0,1,0.00186,1.5,0.00186,0
0.061843,-2.2204e-05,0,0,1,0.00187,1.5,0.00187,0
0.061853,-2.2329e-05,0,0,1,0.00188,1.5,0.00188,0
0.061863,-2.2453e-05,0,0,1,0.00189,1.5,0.00189,0
0.061873,-2.2578e-05,0,0,1,0.0019,1.5,0.0019,0
0.061883,-2.2702e-05,0,0,1,0.00191,1.5,0.00191,0
0.061893,-2.2826e-05,0,0,1,0.00192,1.5,0.00192,0
0.061904,-2.2951e-05,0,0,1,0.00193,1.5,0.00193,0
0.061914,-2.3075e-05,0,0,1,0.00194,1.5,0.00194,0
0.061924,-2.32e-05,0,0,1,0.00195,1.5,0.00195,0
0.061934,-2.3324e-05,0,0,1,0.00196,1.5,0.00196,0
0.061944,-2.3449e-05,0,0,1,0.00197,1.5,0.00197,0
0.061954,-2.3573e-05,0,0,1,0.00198,1.5,0.00198,0
0.061964,-2.3697e-05,0,0,1,0.00199,1.5,0.00199,0
0.061974,-2.3822e-05,0,0,1,0.002,1.5,0.002,0
0.061984,-2.394e-05,0,0,1,0.00201,1.5,0.00201,0
0.061993,-2.4058e-05,0,0,1,0.00202,1.5,0.00202,0
0.062002,-2.4175e-05,0,0,1,0.00203,1.5,0.00203,0
0.062012,-2.4293e-05,0,-5.0308e-19,1,0.00204,1.5,0.00204,0
0.062021,-2.4411e-05,0,0,1,0.00205,1.5,0.00205,0
0.062031,-2.4529e-05,0,0,1,0.00206,1.5,0.00206,0
0.06204,-2.4647e-05,0,0,1,0.00207,1.5,0.00207,0
0.062049,-2.4764e-05,0,0,1,0.00208,1.5,0.00208,0
0.062059,-2.4882e-05,0,0,1,0.00209,1.5,0.00209,0
0.062068,-2.5e-05,0,0,1,0.0021,1.5,0.0021,0
0.062078,-2.5118e-05,0,0,1,0.00211,1.5,0.00211,0
0.062087,-2.5236e-05,0,0,1,0.00212,1.5,0.00212,0
0.062096,-2.5353e-05,0,0,1,0.00213,1.5,0.00213,0
0.062106,-2.5471e-05,0,0,1,0.00214,1.5,0.00214,0
0.062115,-2.5589e-05,0,0,1,0.00215,1.5,0.00215,0
0.062125,-2.5707e-05,0,0,1,0.00216,1.5,0.00216,0
0.062134,-2.5825e-05,0,0,1,0.00217,1.5,0.00217,0
0.062143,-2.5942e-05,0,0,1,0.00218,1.5,0.00218,0
0.062153,-2.606e-05,0,0,1,0.00219,1.5,0.00219,0
0.062162,-2.6178e-05,0,0,1,0.0022,1.5,0.0022,0
0.062172,-2.6296e-05,0,0,1,0.00221,1.5,0.00221,0
0.062181,-2.6414e-05,0,0,1,0.00222,1.5,0.00222,0
0.06219,-2.6531e-05,0,0,1,0.00223,1.5,0.00223,0
0.0622,-2.6649e-05,0,0,1,0.00224,1.5,0.00224,0
0.062209,-2.6767e-05,0,0,1,0.00225,1.5,0.00225,0
0.062217,-2.6877e-05,0,0,1,0.00226,1.5,0.00226,0
0.062226,-2.6988e-05,0,0,1,0.00227,1.5,0.00227,0
0.062234,-2.7098e-05,0,0,1,0.00228,1.5,0.00228,0
0.062242,-2.7208e-05,0,0,1,0.00229,1.5,0.00229,0
0.062251,-2.7318e-05,0,0,1,0.0023,1.5,0.0023,0
0.062259,-2.7429e-05,0,0,1,0.00231,1.5,0.00231,0
0.062267,-2.7539e-05,0,0,1,0.00232,1.5,0.00232,0
0.062276,-2.7649e-05,0,0,1,0.00233,1.5,0.00233,0
0.062284,-2.7759e-05,0,0,1,0.00234,1.5,0.00234,0
0.062292,-2.787e-05,0,0,1,0.00235,1.5,0.00235,0
0.062301,-2.798e-05,0,0,1,0.00236,1.5,0.00236,0
0.062309,-2.809e-05,0,0,1,0.00237,1.5,0.00237,0
0.062317,-2.82e-05,0,0,1,0.00238,1.5,0.00238,0
0.062326,-2.8311e-05,0,0,1,0.00239,1.5,0.00239,0
0.062334,-2.8421e-05,0,0,1,0.0024,1.5,0.0024,0
0.062342,-2.8531e-05,0,0,1,0.00241,1.5,0.00241,0
0.062351,-2.8641e-05,0,0,1,0.00242,1.5,0.00242,0
0.062359,-2.8752e-05,0,0,1,0.00243,1.5,0.00243,0
0.062367,-2.8862e-05,0,0,1,0.00244,1.5,0.00244,0
0.062376,-2.8972e-05,0,0,1,0.00245,1.5,0.00245,0
0.062384,-2.9082e-05,0,0,1,0.00246,1.5,0.00246,0
0.062392,-2.9193e-05,0,0,1,0.00247,1.5,0.00247,0
0.062401,-2.9303e-05,0,0,1,0.00248,1.5,0.00248,0
0.062409,-2.9413e-05,0,0,1,0.00249,1.5,0.00249,0
0.062417,-2.9523e-05,0,0,1,0.0025,1.5,0.0025,0
0.062424,-2.9625e-05,0,0,1,0.00251,1.5,0.00251,0
0.062431,-2.9727e-05,0,5.0645e-19,1,0.00252,1.5,0.00252,0
0.062438,-2.9829e-05,0,0,1,0.00253,1.5,0.00253,0
0.062445,-2.9931e-05,0,0,1,0.00254,1.5,0.00254,0
0.062452,-3.0033e-05,0,0,1,0.00255,1.5,0.00255,0
0.062459,-3.0135e-05,0,0,1,0.00256,1.5,0.00256,0
0.062466,-3.0237e-05,0,0,1,0.00257,1.5,0.00257,0
0.062473,-3.0338e-05,0,0,1,0.00258,1.5,0.00258,0
0.062479,-3.044e-05,0,0,1,0.00259,1.5,0.00259,0
0.062486,-3.0542e-05,0,0,1,0.0026,1.5,0.0026,0
0.062493,-3.0644e-05,0,0,1,0.00261,1.5,0.00261,0
0.0625,-3.0746e-05,0,0,1,0.00262,1.5,0.00262,0
0.062507,-3.0848e-05,0,0,1,0.00263,1.5,0.00263,0
0.062514,-3.095e-05,0,0,1,0.00264,1.5,0.00264,0
0.062521,-3.1052e-05,0,0,1,0.00265,1.5,0.00265,0
0.062528,-3.1153e-05,0,0,1,0.00266,1.5,0.00266,0
0.062535,-3.1255e-05,0,0,1,0.00267,1.5,0.00267,0
0.062541,-3.1357e-05,0,0,1,0.00268,1.5,0.00268,0
0.062548,-3.1459e-05,0,0,1,0.00269,1.5,0.00269,0
0.062555,-3.1561e-05,0,0,1,0.0027,1.5,0.0027,0
0.062562,-3.1663e-05,0,0,1,0.00271,1.5,0.00271,0
0.062569,-3.1765e-05,0,0,1,0.00272,1.5,0.00272,0
0.062576,-3.1867e-05,0,0,1,0.00273,1.5,0.00273,0
0.062583,-3.1968e-05,0,0,1,0.00274,1.5,0.00274,0
0.06259,-3.207e-05,0,0,1,0.00275,1.5,0.00275,0
0.062595,-3.2163e-05,0,5.0731e-19,1,0.00276,1.5,0.00276,0
0.0626,-3.2256e-05,0,5.0734e-19,1,0.00277,1.5,0.00277,0
0.062605,-3.2348e-05,0,0,1,0.00278,1.5,0.00278,0
0.06261,-3.2441e-05,0,0,1,0.00279,1.5,0.00279,0
0.062615,-3.2534e-05,0,0,1,0.0028,1.5,0.0028,0
0.06262,-3.2626e-05,0,0,1,0.00281,1.5,0.00281,0
0.062625,-3.2719e-05,0,0,1,0.00282,1.5,0.00282,0
0.06263,-3.2812e-05,0,0,1,0.00283,1.5,0.00283,0
0.062635,-3.2904e-05,0,0,1,0.00284,1.5,0.00284,0
0.06264,-3.2997e-05,0,0,1,0.00285,1.5,0.00285,0
0.062645,-3.309e-05,0,0,1,0.00286,1.5,0.00286,0
0.062651,-3.3182e-05,0,0,1,0.00287,1.5,0.00287,0
0.062656,-3.3275e-05,0,0,1,0.00288,1.5,0.00288,0
0.062661,-3.3367e-05,0,0,1,0.00289,1.5,0.00289,0
0.062666,-3.346e-05,0,0,1,0.0029,1.5,0.0029,0
0.062671,-3.3553e-05,0,0,1,0.00291,1.5,0.00291,0
0.062676,-3.3645e-05,0,0,1,0.00292,1.5,0.00292,0
